Area,Latitude,Longitude
De Beauvoir Town,51.539929,-0.0850011
Denmark Hill,51.468043,-0.0896031
Deptford,51.4758453,-0.0215164
Derry Downs,51.38431755,0.12471191251390645
Dollis Hill,51.5519625,-0.2390214
Downe,51.336978450000004,0.05458644911205443
Downham,51.426111,0.0064566
Dulwich,51.4418786,-0.0843244
Ealing,51.5126553,-0.3051952
Earls Court,51.4916123,-0.193903
Earlsfield,51.4464482,-0.1893941
East Barnet,51.6416813,-0.1628235
East Bedfont,51.4490841,-0.4413594
East Dulwich,51.4585551,-0.0727322
East Finchley,51.5871881,-0.1648137
East Ham,51.5329628,0.0553201
East Sheen,51.4623706,-0.267094
East Wickham,51.3773424,-0.0256802
Eastcote,51.5795418,-0.4016534
Eden Park,51.3901801,-0.0263691
Edgware,51.613673,-0.2749398
Edmonton,51.6203392,-0.0659791
Eel Pie Island,51.445126450000004,-0.3254075826905488
Elephant and Castle,51.4948884,-0.1005731
Elm Park,51.549579,0.1974303
Elmers End,51.3994675,-0.0416048
Elmstead,51.4181888,0.0469182
Eltham,51.4505687,0.0541253
Emerson Park,51.5686007,0.2202375
Enfield Highway,51.6570215,-0.0470996
Enfield Lock,51.6708872,-0.0285727
Enfield Town,51.6517156,-0.0786839
Erith,51.4775613,0.1823013
Falconwood,51.4592305,0.0793044
Farringdon,51.5201241,-0.1047928
Feltham,51.4442232,-0.410659
Finchley,51.5973246,-0.1805587
Finsbury,51.5265742,-0.1070713
Finsbury Park,51.5648345,-0.1064144
Fitzrovia,51.5187642,-0.1410017
Foots Cray,51.4186732,0.1180187
Forest Gate,51.5495236,0.0249248
Forest Hill,51.4392419,-0.0530903
Forestdale,51.3513283,-0.0387563
Fortis Green,51.590997,-0.1534208
Freezywater,51.6739765,-0.0398988
Friern Barnet,51.6128484,-0.158614
Frognal,51.5496303,-0.1811833
Fulham,51.4744221,-0.2060772
Fulwell,51.4337482,-0.3496847
Gallows Corner,51.5927318,0.2124054
Gants Hill,51.5765744,0.0653081
Gidea Park,51.5811818,0.2059524
Gipsy Hill,51.4247042,-0.0845885
Goddington,51.3690444,0.1117289
Golders Green,51.5718315,-0.1955219
Goodmayes,51.565803,0.1119305
Gospel Oak,51.5554865,-0.151577
Grahame Park,51.6028898,-0.244866
Grange Park,51.6433292,-0.0969391
Greenford,51.5422492,-0.3453513
Greenwich,51.4820845,-0.0045417
Grove Park,51.4318969,0.0212344
Gunnersbury,51.4913757,-0.2755244
Hackney,51.5432402,-0.0493621
Hackney Central,51.5470605,-0.0568749
Hackney Marshes,51.55649645,-0.029171864933870008
Hackney Wick,51.543433,-0.0240839
Hadley Wood,51.6686277,-0.1761782
Haggerston,51.5385184,-0.0753811
Hainault,51.6033163,0.0933599
The Hale,51.5885692,-0.0631977
Ham,51.4347641,-0.3092987
Hammersmith,51.4920377,-0.2236401
Hampstead,51.5542879,-0.1740747
Hampstead Garden Suburb,51.5805081,-0.1806164
Hampton,51.4150272,-0.3691409
Hampton Hill,51.4278442,-0.355081
Hampton Wick,51.4144519,-0.3126743
Hanwell,51.5089838,-0.3381584
Hanworth,51.4348478,-0.3903611
Harefield,51.6041828,-0.4825622
Harlesden,51.5363567,-0.257833
Harlington,51.4884891,-0.4363028
Harmondsworth,51.4889317,-0.4755435
Harold Hill,51.6049,0.2201549
Harold Park,51.499455,-0.4190281
Harold Wood,51.5936326,0.2310497
Harringay,51.582382,-0.0996181
Harrow,51.5967688,-0.33727515543507014
Harrow on the Hill,51.5792702,-0.3366561
Harrow Weald,51.6047861,-0.3404854
Hatch End,51.6095781,-0.3687836
Hatton,51.4658301,-0.4189375
Havering-atte-Bower,51.6191842,0.1823672
Hayes,51.5077154,-0.4181471
Hazelwood,51.3333728,0.0749494
Hendon,51.5897442,-0.22162
Herne Hill,51.4534691,-0.1022835
Heston,51.4854573,-0.3719561
Highams Park,51.6088927,-0.0001301
Highbury,51.5457996,-0.1027127
Highgate,51.5744322,-0.1526837
Hillingdon,51.542519299999995,-0.44833493117949663
Hither Green,51.4514446,-0.0004955
Holborn,51.5179341,-0.1195284
Holland Park,51.50301195,-0.20414761379575316
Holloway,51.5572453,-0.1183706
Homerton,51.5470789,-0.043121
Honor Oak,51.45129,-0.05128
Hook,51.3678984,-0.3071453
Hornchurch,51.5613235,0.2212279
Horn Park,51.4472867,0.0260585
Hornsey,51.5873645,-0.1209667
Hounslow,51.4686132,-0.3613471
Hoxton,51.5323935,-0.086078
The Hyde,51.5962569,-0.2622604
Ickenham,51.5615698,-0.4423513
Ilford,51.5582734,0.0711669
Isle of Dogs,51.4978447,-0.0168854
Isleworth,51.4683558,-0.3263111
Islington,51.5384287,-0.0999051
Kenley,51.3227524,-0.1037854
Kennington,51.4882861,-0.1058829
Kensal Green,51.5306063,-0.2244449
Kensington,51.4989948,-0.1991229
Kentish Town,51.5500658,-0.1425625
Kenton,51.5815255,-0.3166378
Keston,51.3609685,0.0290762
Kew,51.4806629,-0.2919292
Kidbrooke,51.4675731,0.0285241
Kilburn,51.541882,-0.1979358
King's Cross,51.5323954,-0.1230224
Kingsbury,51.5843174,-0.2787137
Kingston Vale,51.43185,-0.2581379
Kingston upon Thames,51.4096275,-0.3062621
Knightsbridge,51.5008444,-0.166965
Ladywell,51.4560257,-0.0191917
Lambeth,51.5013012,-0.117287
Lamorbey,51.4355092,0.1018049
Lampton,51.4776251,-0.3641365
Lea Bridge,51.562141499999996,-0.045734448334317473
Leamouth,51.5113635,0.0004214
Leaves Green,51.33772965,0.030500840370249777
Lee,51.4565827,0.0114959
Lessness Heath,51.484098,0.14821
Lewisham,51.4624325,-0.0101331
Leyton,51.5696734,-0.015681
Leytonstone,51.5710783,0.0064237
Limehouse,51.5133074,-0.0351492
Lisson Grove,51.5238504,-0.1671263
Little Ilford,51.550298,0.0625225
Little Venice,51.5211948,-0.1824045
Locksbottom,51.3670479,0.0625805
Longford,51.4812266,-0.4908047
Longlands,51.4304854,0.0841774
Lower Clapton,51.5546565,-0.0550912
Lower Morden,51.3897736,-0.2163635
Loxford,51.5481943,0.084051
Maida Vale,51.527592,-0.1905916
Malden Rushett,51.3410523,-0.3190757
Manor House,51.5703208,-0.0963971
Manor Park,51.4269492,-0.1355069
Marks Gate,51.5863692,0.1348482
Maryland,51.5460532,0.0059223
Marylebone,51.5220589,-0.1504553
Mayfair,51.5110872,-0.147058
Maze Hill,51.482607,0.0038458
Merton Park,51.4079938,-0.2019654
Middle Park,51.4453135,0.0400849
Mile End,51.5253378,-0.033435
Mill Hill,51.6154423,-0.2330675
Millbank,51.4926121,-0.1290435
Millwall,51.4933423,-0.0212187
Mitcham,51.4058006,-0.1640787
Monken Hadley,51.66121575,-0.19100962162691934
Morden,51.4027615,-0.1947552
Morden Park,51.3913369,-0.21066262224288523
Mortlake,51.4698873,-0.2685226
Motspur Park,51.3909852,-0.2488979
Mottingham,51.4339336,0.0495702
Muswell Hill,51.5910395,-0.1420768
Nag's Head,51.5129793,-0.12361979920177762
Neasden,51.5543358,-0.250749
New Addington,51.3425414,-0.0162924
New Barnet,51.6495724,-0.171006
New Cross,51.4763706,-0.0326237
New Eltham,51.4362297,0.0685289
New Malden,51.4053347,-0.2634066
New Southgate,51.6140016,-0.1430349
Newbury Park,51.5754985,0.0899693
Newington,51.48528865,-0.10161266013917428
Nine Elms,51.4787433,-0.1362629
Noak Hill,51.6216658,0.2271257
Norbiton,51.4099994,-0.2873963
Norbury,51.4110663,-0.1224869
North Cray,51.4251795,0.1345992
North End,51.567457,-0.1819168
North Finchley,51.6124905,-0.1756922
North Harrow,51.5851618,-0.3631762
North Kensington,51.5196647,-0.2106959
North Ockendon,51.5457699,0.2936981
North Sheen,51.4653247,-0.2865821
North Woolwich,51.5004071,0.064154
Northolt,51.5465937,-0.369565
Northumberland Heath,51.4711864,0.1611451
Northwood,51.6051713,-0.4205812
Norwood Green,51.4966058,-0.3693772
Notting Hill,51.5109995,-0.2055267
Nunhead,51.4615309,-0.0535056
Oakleigh Park,51.6377516,-0.1662835
Old Coulsdon,51.307089,-0.119647
Old Ford,51.5341124,-0.0268215
Old Malden,51.382484,-0.2590897
Old Oak Common,51.52921055,-0.2409410474285966
Orpington,51.3805859,0.1063469
Osidge,51.632198,-0.1430039
Osterley,51.4812336,-0.3521981
Oval,51.48375215,-0.11496182711601476
Paddington,51.5170856,-0.1775422
Palmers Green,51.6222544,-0.1127378
Park Royal,51.5264341,-0.2839348
Parsons Green,51.4750837,-0.201549
Peckham,51.4734122,-0.0699321
Penge,51.4146841,-0.0534213
Pentonville,51.5318579,-0.1084232
Perivale,51.5364952,-0.3225887
Petersham,51.4436913,-0.3052934
Petts Wood,51.3909147,0.0771282
Pimlico,51.4889993,-0.1398817
Pinner,51.5968712,-0.3770142
Plaistow,51.5311544,0.0166833
Plumstead,51.4804635,0.0924286
Ponders End,51.6428463,-0.0347837
Poplar,51.5110713,-0.0144629
Pratt's Bottom,51.3408843,0.1114591
Preston,51.5762155,-0.2915108
Primrose Hill,51.5390165,-0.16193786284392453
Purley,51.3385156,-0.115893
Putney,51.4625524,-0.2167462
Queen's Park,51.529149000000004,-0.20881331988409563
Queensbury,51.5941903,-0.286181
Rainham,51.5167284,0.1996559
Ratcliff,51.5463225,0.0331873
Rayners Lane,51.5767143,-0.3703002
Raynes Park,51.408966,-0.23054
Redbridge,51.5763203,0.0454097
Richmond,51.4613531,-0.3032767
Riddlesdown,51.3329352,-0.0997037
Roehampton,51.4498773,-0.2412672
Romford,51.5760462,0.1822646
Rotherhithe,51.5002908,-0.0436321
Ruislip,51.5714026,-0.4213375
Rush Green,51.5663201,0.170001
Ruxley,51.4143345,0.1326256
Sanderstead,51.3340837,-0.0767435
Sands End,51.4725454,-0.1871122
Selhurst,51.3922136,-0.0886537
Selsdon,51.3443067,-0.0607688
Seven Kings,51.5657811,0.0951492
Seven Sisters,51.5824738,-0.0749325
Shacklewell,51.5523761,-0.0701582
Shadwell,51.51125,-0.0569241
Shepherd's Bush,51.505314,-0.2229007
Shirley,51.3749243,-0.0466335
Shooter's Hill,51.4692255,0.066306
Shoreditch,51.5266694,-0.0798926
Sidcup,51.4264002,0.101044
Silvertown,51.5013626,0.0385185
Sipson,51.489419,-0.4562064
Slade Green,51.4676731,0.1903098
Snaresbrook,51.5831734,0.0228777
Soho,51.5131628,-0.1311754
South Croydon,51.3629056,-0.0932762
South Hackney,51.5432402,-0.0493621
South Harrow,51.5646517,-0.3522211
South Hornchurch,51.5330916,0.1912727
South Kensington,51.4940494,-0.1730439
South Norwood,51.3980951,-0.0768216
South Ruislip,51.5569909,-0.3990635
South Wimbledon,51.4151759,-0.1926457
South Woodford,51.5917798,0.0274276
South Tottenham,51.5804433,-0.0717169
Southend,51.5938499,0.037646
Southall,51.5111461,-0.3755169
Southborough,51.3899151,0.0446175
Southfields,51.4457751,-0.2066142
Southgate,51.6281547,-0.123596
Spitalfields,51.5195274,-0.0751701
St Helier,51.3866947,-0.1800574
St James's,51.5079082,-0.1365727
St Margarets,51.4567091,-0.3224118
St Giles,51.5160098,-0.1219057
St Johns,51.4690905,-0.0221846
St John's Wood,51.531726,-0.1741901
St Luke's,51.489577,-0.16938725233160384
St Mary Cray,51.3954765,0.1138557
St Pancras,51.5322906,-0.1259994
St Paul's Cray,51.4031864,0.118389
Stamford Hill,51.5707092,-0.0690402
Stanmore,51.6188526,-0.3026271
Stepney,51.5174023,-0.0462189
Stockwell,51.472211,-0.1225014
Stoke Newington,51.5576971,-0.0772816
Stonebridge,51.5441099,-0.2762285
Stratford,51.541289,-0.0035472
Strawberry Hill,51.4385925,-0.3399367
Streatham,51.429769,-0.1311105
Stroud Green,51.5716864,-0.1114972
Sudbury,51.5143613,0.0640345
Sundridge,51.4198856,0.0202065
Surbiton,51.3937557,-0.3033105
Surrey Quays,51.4934207,-0.0478319
Sutton,51.3575114,-0.173640122600872
Swiss Cottage,51.543722,-0.174982
Sydenham,51.4269433,-0.0545387
Sydenham Hill,51.4326038,-0.072322
Teddington,51.4277844,-0.333653
Temple,51.5109659,-0.1143345
Temple Fortune,51.5819126,-0.1990538
Thamesmead,51.4989335,0.1148486
Thornton Heath,51.3988709,-0.099602
Tokyngton,51.55059635,-0.28489908276928966
Tolworth,51.3788758,-0.2828604
Tooting,51.4266588,-0.1690768
Tooting Bec,51.4356086,-0.1596548
Tottenham,51.5976955,-0.0672892
Tottenham Green,51.58775405,-0.07147608181567411
Tottenham Hale,51.5881223,-0.0599366
Totteridge,51.6331335,-0.2008636
Tower Hill,51.5098481,-0.0766986
Tufnell Park,51.5568005,-0.138457
Tulse Hill,51.4412109,-0.1020591
Turnpike Lane,51.5888106,-0.1103779
Twickenham,51.4467444,-0.3281887
Upminster,51.5589502,0.2520875
Upminster Bridge,51.5582655,0.2347689
Upper Clapton,51.5668384,-0.0605697
Upper Holloway,51.5644891,-0.1338683
Upper Norwood,51.4164053,-0.0940347
Upper Ruxley,51.4102386,0.1436717
Upper Walthamstow,51.5879893,0.0020978
Upton,51.4524572,0.1275711
Upton Park,51.5351062,0.0339842
Uxbridge,51.5449509,-0.4816672
Vauxhall,51.4874834,-0.1229297
Waddon,51.3673011,-0.1173627
Wallington,51.357945,-0.1495621
Walthamstow,51.5844701,-0.0188186
Walthamstow Village,51.5836835,-0.0121451
Walworth,51.4901142,-0.0906603
Wandsworth,51.4570271,-0.1932607
Wapping,51.5054363,-0.0587291
Wealdstone,51.5936353,-0.3294758
Well Hall,51.4574683,0.0501437
Welling,51.46529,0.1059038
Wembley,51.5531547,-0.2957562
Wembley Park,51.5636297,-0.2800532
Wennington,51.5043496,0.2205249
West Brompton,51.4869765,-0.1951854
West Drayton,51.503513,-0.4662704
West Ealing,51.5135091,-0.3207704
West Green,51.5868063,-0.0898489
West Hackney,51.5608595,-0.0691322
West Ham,51.5280966,0.0045685
West Hampstead,51.5468194,-0.1899646
West Harrow,51.5795852,-0.3530692
West Heath,51.4808745,0.1273574
West Hendon,51.578213,-0.2403793
West Kensington,51.4906622,-0.205916
West Norwood,51.4346192,-0.1036917
West Wickham,51.3758036,-0.0146843
Westcombe Park,51.4842204,0.0188787
Westminster,51.5013562,-0.1249302
Whetstone,51.6301762,-0.1748844
White City,51.5119347,-0.2242361
Whitechapel,51.5186227,-0.0620807
Widmore,51.4023963,0.0351602
Whitton,51.4511693,-0.3579759
Willesden,51.5466216,-0.2358661
Wimbledon,51.4214787,-0.2064027
Winchmore Hill,51.6333948,-0.1033617
Wood Green,51.5959898,-0.1091471
Woodford,51.6068055,0.0340119
Woodford Green,51.6118469,0.02407962103878284
Woodlands,51.4721654,-0.3374321
Woodside,51.3870773,-0.0653308
Woodside Park,51.6179483,-0.1855794
Woolwich,51.4826696,0.0623335
Worcester Park,51.3783998,-0.2416023
Wormwood Scrubs,51.52137985,-0.24043929057201105
Yeading,51.527239,-0.3992705
Yiewsley,51.5128661,-0.4741522
